"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","Geocode Status","Longitude","Address","Latitude"
"Orci Ut Sagittis Institute vxzgAAA  MOL Standard Services","006i0000001vxzgAAA",2,"","06/26/2015","Commit","","","Services","Orci Ut Sagittis Institute","",1120,"","","","","06/21/2015 00:00","","","","","",-86.142779,"",39.873599
"Ut Foundation vuYnAAI  MOL Standard Maintenance","006i0000001vuYnAAI",12,"","06/28/2013","Closed Won","","","Maintenance","Ut Foundation","",1152,"","","","","06/30/2013 00:00","","","","","",-89.32525,"",43.125762
"Ut Foundation vvkNAAQ  MOL Standard Software","006i0000001vvkNAAQ",3,"","05/14/2014","Closed Won","","","Software","Ut Foundation","",2400,"","","","","05/14/2014 00:00","","","","","",-89.32525,"",43.125762
"Ut Foundation vx2YAAQ  MOL Standard Maintenance","006i0000001vx2YAAQ",226,"","01/23/2015","Closed Lost","","","Maintenance","Ut Foundation","",24408,"","","","","01/23/2015 00:00","","","","","",-89.32525,"",43.125762
"Ut Foundation vy0TAAQ  MOL Premium Software","006i0000001vy0TAAQ",9,"","06/26/2015","Decision","","","Software","Ut Foundation","",10476,"","","","","06/22/2015 00:00","","","","","",-89.32525,"",43.125762
"Adipiscing Elit PC vy0tAAA  MOL Premium Software","006i0000001vy0tAAA",201,"","06/29/2015","Commit","","","Software","Adipiscing Elit PC","",190548,"","","","","06/23/2015 00:00","","","","","",-122.442472,"",47.257858
"Sed Id Risus Limited vuSgAAI  MOL Standard Software","006i0000001vuSgAAI",22,"","05/31/2013","Closed Won","","","Software","Sed Id Risus Limited","",12848,"","","","","06/02/2013 00:00","","","","","",-93.60883,"",41.729437
"Sed Id Risus Limited vvvTAAQ  MOL Standard Software","006i0000001vvvTAAQ",76,"","06/22/2014","Closed Won","","","Software","Sed Id Risus Limited","",43168,"","","","","06/22/2014 00:00","","","","","",-93.60883,"",41.729437
"Sed Id Risus Limited vwZCAAY  MOL Standard Software","006i0000001vwZCAAY",88,"","11/05/2014","Closed Lost","","","Software","Sed Id Risus Limited","",58432,"","","","","10/28/2014 00:00","","","","","",-93.60883,"",41.729437
"Sed Id Risus Limited vxqyAAA  MOL Standard Software","006i0000001vxqyAAA",10,"","06/03/2015","Discover","","","Software","Sed Id Risus Limited","",7760,"","","","","06/01/2015 00:00","","","","","",-93.60883,"",41.729437
"Nisl Quisque Institute vuijAAA  MOL Standard Software","006i0000001vuijAAA",5,"","10/18/2013","Closed Won","","","Software","Nisl Quisque Institute","",2840,"","","","","08/28/2013 00:00","","","","","",-90.517182,"",41.506189
"Nisl Quisque Institute vuvnAAA  MOL Standard Software","006i0000001vuvnAAA",9,"","10/18/2013","Closed Won","","","Software","Nisl Quisque Institute","",5184,"","","","","10/20/2013 00:00","","","","","",-90.517182,"",41.506189
"Nisl Quisque Institute vv2VAAQ  MOL Standard Software","006i0000001vv2VAAQ",1,"","11/26/2013","Closed Lost","","","Software","Nisl Quisque Institute","",792,"","","","","11/26/2013 00:00","","","","","",-90.517182,"",41.506189
"Nisl Quisque Institute vwCSAAY  MOL Standard Software","006i0000001vwCSAAY",15,"","08/29/2014","Closed Won","","","Software","Nisl Quisque Institute","",11400,"","","","","08/24/2014 00:00","","","","","",-90.517182,"",41.506189
"Nisl Quisque Institute vwW9AAI  MOL Standard Services","006i0000001vwW9AAI",19,"","10/19/2014","Closed Won","","","Services","Nisl Quisque Institute","",10507,"","","","","10/19/2014 00:00","","","","","",-90.517182,"",41.506189
"Nisl Quisque Institute vwktAAA  MOL Standard Software","006i0000001vwktAAA",9,"","12/11/2014","Closed Won","","","Software","Nisl Quisque Institute","",6192,"","","","","12/06/2014 00:00","","","","","",-90.517182,"",41.506189
"Nisl Quisque Institute vxqzAAA  MOL Standard Maintenance","006i0000001vxqzAAA",117,"","06/07/2015","Qualify","","","Maintenance","Nisl Quisque Institute","",12074.4,"","","","","06/01/2015 00:00","","","","","",-90.517182,"",41.506189
"Cubilia Curae; Donec LLP vxr2AAA  MOL Standard Software","006i0000001vxr2AAA",4,"","05/30/2015","Closed Lost","","","Software","Cubilia Curae; Donec LLP","",2304,"","","","","06/01/2015 00:00","","","","","",-122.371202,"",47.666653
"Aliquam Gravida Mauris Foundation vsvJAAQ  MOL Standard Software","006i0000001vsvJAAQ",5,"","06/07/2012","Closed Won","","","Software","Aliquam Gravida Mauris Foundation","",3440,"","","","","06/09/2012 00:00","","","","","",-78.918887,"",37.870497
"Aliquam Gravida Mauris Foundation vuOoAAI  MOL Standard Software","006i0000001vuOoAAI",14,"","05/15/2013","Closed Won","","","Software","Aliquam Gravida Mauris Foundation","",10864,"","","","","05/07/2013 00:00","","","","","",-78.918887,"",37.870497
"Aliquam Gravida Mauris Foundation vvp6AAA  MOL Standard Services","006i0000001vvp6AAA",15,"","06/10/2014","Closed Lost","","","Services","Aliquam Gravida Mauris Foundation","",9450,"","","","","06/04/2014 00:00","","","","","",-78.918887,"",37.870497
"Aliquam Gravida Mauris Foundation vxryAAA  MOL Standard Maintenance","006i0000001vxryAAA",2,"","06/09/2015","Decision","","","Maintenance","Aliquam Gravida Mauris Foundation","",201.6,"","","","","06/05/2015 00:00","","","","","",-78.918887,"",37.870497
"Ac Mi Eleifend LLC vuoFAAQ  MOL Standard Software","006i0000001vuoFAAQ",3,"","09/22/2013","Closed Won","","","Software","Ac Mi Eleifend LLC","",2088,"","","","","09/24/2013 00:00","","","","","",-101.288237,"",48.237588
"Ac Mi Eleifend LLC vvc8AAA  MOL Standard Software","006i0000001vvc8AAA",4,"","04/16/2014","Closed Won","","","Software","Ac Mi Eleifend LLC","",2336,"","","","","04/09/2014 00:00","","","","","",-101.288237,"",48.237588
"Ac Mi Eleifend LLC vveaAAA  MOL Standard Software","006i0000001vveaAAA",23,"","04/27/2014","Closed Won","","","Software","Ac Mi Eleifend LLC","",14536,"","","","","04/21/2014 00:00","","","","","",-101.288237,"",48.237588
"Ac Mi Eleifend LLC vwMRAAY  MOL Standard Software","006i0000001vwMRAAY",17,"","09/30/2014","Closed Lost","","","Software","Ac Mi Eleifend LLC","",11560,"","","","","09/23/2014 00:00","","","","","",-101.288237,"",48.237588
"Ac Mi Eleifend LLC vwSWAAY  MOL Standard Maintenance","006i0000001vwSWAAY",4,"","10/07/2014","Closed Won","","","Maintenance","Ac Mi Eleifend LLC","",379.2,"","","","","10/03/2014 00:00","","","","","",-101.288237,"",48.237588
"Ac Mi Eleifend LLC vwghAAA  MOL Standard Software","006i0000001vwghAAA",3,"","11/30/2014","Closed Won","","","Software","Ac Mi Eleifend LLC","",2400,"","","","","11/23/2014 00:00","","","","","",-101.288237,"",48.237588
"Ac Mi Eleifend LLC vxs3AAA  MOL Standard Software","006i0000001vxs3AAA",38,"","06/07/2015","Solution","","","Software","Ac Mi Eleifend LLC","",30096,"","","","","06/05/2015 00:00","","","","","",-101.288237,"",48.237588
"Nullam Suscipit Est Industries vvaBAAQ  MOL Standard Services","006i0000001vvaBAAQ",11,"","03/29/2014","Closed Lost","","","Services","Nullam Suscipit Est Industries","",6237,"","","","","03/31/2014 00:00","","","","","",-116.547461,"",48.275389
"Nullam Suscipit Est Industries vvusAAA  MOL Standard Software","006i0000001vvusAAA",41,"","06/27/2014","Closed Won","","","Software","Nullam Suscipit Est Industries","",26568,"","","","","06/21/2014 00:00","","","","","",-116.547461,"",48.275389
"Nullam Suscipit Est Industries vwMUAAY  MOL Mobile Software","006i0000001vwMUAAY",2,"","09/28/2014","Closed Won","","","Software","Nullam Suscipit Est Industries","",1314,"","","","","09/23/2014 00:00","","","","","",-116.547461,"",48.275389
"Nullam Suscipit Est Industries vwvkAAA  MOL Standard Software","006i0000001vwvkAAA",181,"","12/31/2014","Closed Lost","","","Software","Nullam Suscipit Est Industries","",107152,"","","","","12/28/2014 00:00","","","","","",-116.547461,"",48.275389
"Nullam Suscipit Est Industries vxs4AAA  MOL Standard Software","006i0000001vxs4AAA",1,"","06/09/2015","Discover","","","Software","Nullam Suscipit Est Industries","",592,"","","","","06/05/2015 00:00","","","","","",-116.547461,"",48.275389
"Congue Elit Sed PC vviJAAQ  MOL Standard Maintenance","006i0000001vviJAAQ",14,"","05/03/2014","Closed Won","","","Maintenance","Congue Elit Sed PC","",1461.6,"","","","","05/05/2014 00:00","","","","","",-111.648398,"",35.197509
"Congue Elit Sed PC vxs5AAA  MOL Standard Software","006i0000001vxs5AAA",9,"","06/13/2015","Decision","","","Software","Congue Elit Sed PC","",6192,"","","","","06/05/2015 00:00","","","","","",-111.648398,"",35.197509
"Per Conubia Consulting vtI6AAI  MOL Standard Services","006i0000001vtI6AAI",60,"","08/15/2011","Closed Lost","","","Services","Per Conubia Consulting","",31500,"","","","","07/09/2011 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vtNBAAY  MOL Standard Software","006i0000001vtNBAAY",16,"","10/21/2011","Closed Lost","","","Software","Per Conubia Consulting","",9344,"","","","","10/16/2011 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vtoMAAQ  MOL Standard Software","006i0000001vtoMAAQ",17,"","08/16/2012","Closed Won","","","Maintenance","Per Conubia Consulting","",1489.2,"","","","","08/12/2012 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vtosAAA  MOL Standard Software","006i0000001vtosAAA",2,"","08/20/2012","Closed Won","","","Software","Per Conubia Consulting","",1344,"","","","","08/20/2012 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vudsAAA  MOL Standard Maintenance","006i0000001vudsAAA",3,"","08/05/2013","Closed Lost","","","Maintenance","Per Conubia Consulting","",309.6,"","","","","07/31/2013 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vupQAAQ  MOL Standard Software","006i0000001vupQAAQ",1,"","10/03/2013","Closed Lost","","","Software","Per Conubia Consulting","",760,"","","","","09/28/2013 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vv10AAA  MOL Standard Software","006i0000001vv10AAA",159,"","11/24/2013","Closed Lost","","","Software","Per Conubia Consulting","",90312,"","","","","11/17/2013 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vvP8AAI  MOL Standard Software","006i0000001vvP8AAI",493,"","03/08/2014","Closed Lost","","","Software","Per Conubia Consulting","",327352,"","","","","03/01/2014 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vvkiAAA  MOL Standard Services","006i0000001vvkiAAA",15,"","05/19/2014","Closed Won","","","Services","Per Conubia Consulting","",8715,"","","","","05/17/2014 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vvtJAAQ  MOL Standard Services","006i0000001vvtJAAQ",157,"","06/22/2014","Closed Lost","","","Services","Per Conubia Consulting","",97811,"","","","","06/17/2014 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vvtIAAQ  MOL Standard Software","006i0000001vvtIAAQ",100,"","06/25/2014","Closed Lost","","","Software","Per Conubia Consulting","",72000,"","","","","06/17/2014 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vwSLAAY  MOL Premium Maintenance","006i0000001vwSLAAY",114,"","10/03/2014","Closed Won","","","Maintenance","Per Conubia Consulting","",14022,"","","","","10/03/2014 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vwSLAAYX  MOL Premium Maintenance","006i0000001vwSLAAYX",114,"","10/08/2014","Closed Won","","","Maintenance","Per Conubia Consulting","",14022,"","","","","10/03/2014 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vwVBAAY  MOL Standard Software","006i0000001vwVBAAY",67,"","10/23/2014","Closed Won","","","Software","Per Conubia Consulting","",53600,"","","","","10/16/2014 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vwuIAAQ  MOL Mobile Maintenance","006i0000001vwuIAAQ",23,"","01/04/2015","Closed Won","","","Maintenance","Per Conubia Consulting","",1959.6,"","","","","12/28/2014 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vwy1AAA  MOL Standard Services","006i0000001vwy1AAA",15,"","01/07/2015","Closed Won","","","Services","Per Conubia Consulting","",9555,"","","","","01/04/2015 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vxWeAAI  MOL Standard Maintenance","006i0000001vxWeAAI",3,"","04/18/2015","Closed Lost","","","Maintenance","Per Conubia Consulting","",324,"","","","","04/11/2015 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vxwuAAA  MOL Standard Software","006i0000001vxwuAAA",28,"","06/17/2015","Discover","","","Software","Per Conubia Consulting","",17024,"","","","","06/16/2015 00:00","","","","","",-72.603439,"",44.569263
"Per Conubia Consulting vxwvAAA  MOL Standard Software","006i0000001vxwvAAA",60,"","06/19/2015","Discover","","","Software","Per Conubia Consulting","",34080,"","","","","06/16/2015 00:00","","","","","",-72.603439,"",44.569263
"Neque In Consulting vtjDAAQ  MOL Standard Software","006i0000001vtjDAAQ",3,"","06/23/2012","Closed Won","","","Software","Neque In Consulting","",2352,"","","","","06/25/2012 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vtmnAAA  MOL Standard Maintenance","006i0000001vtmnAAA",17,"","08/01/2012","Closed Won","","","Maintenance","Neque In Consulting","",1509.6,"","","","","07/24/2012 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vu2bAAA  MOL Standard Software","006i0000001vu2bAAA",11,"","12/23/2012","Closed Won","","","Software","Neque In Consulting","",6952,"","","","","12/17/2012 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vuNLAAY  MOL Standard Software","006i0000001vuNLAAY",10,"","05/04/2013","Closed Won","","","Software","Neque In Consulting","",6400,"","","","","04/28/2013 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vubWAAQ  MOL Standard Software","006i0000001vubWAAQ",3,"","07/13/2013","Closed Won","","","Software","Neque In Consulting","",2136,"","","","","07/10/2013 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vucnAAA  MOL Standard Services","006i0000001vucnAAA",5,"","07/25/2013","Closed Won","","","Services","Neque In Consulting","",3500,"","","","","07/23/2013 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vv3aAAA  MOL Standard Maintenance","006i0000001vv3aAAA",17,"","12/04/2013","Closed Won","","","Maintenance","Neque In Consulting","",1713.6,"","","","","11/30/2013 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vvdsAAA  MOL Premium Services","006i0000001vvdsAAA",10,"","04/26/2014","Closed Won","","","Services","Neque In Consulting","",8400,"","","","","04/19/2014 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vvpkAAA  MOL Standard Software","006i0000001vvpkAAA",16,"","06/10/2014","Closed Won","","","Software","Neque In Consulting","",12288,"","","","","06/07/2014 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vw3sAAA  MOL Standard Maintenance","006i0000001vw3sAAA",3,"","07/27/2014","Closed Won","","","Maintenance","Neque In Consulting","",313.2,"","","","","07/20/2014 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vwlmAAA  MOL Mobile Software","006i0000001vwlmAAA",7,"","12/11/2014","Closed Won","","","Software","Neque In Consulting","",5670,"","","","","12/08/2014 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vxZ6AAI  MOL Standard Services","006i0000001vxZ6AAI",16,"","04/20/2015","Closed Lost","","","Services","Neque In Consulting","",9744,"","","","","04/17/2015 00:00","","","","","",-81.492077,"",36.400784
"Neque In Consulting vxxyAAA  MOL Standard Services","006i0000001vxxyAAA",1705,"","06/26/2015","Discover","","","Services","Neque In Consulting","",1181565,"","","","","06/19/2015 00:00","","","","","",-81.492077,"",36.400784
"Acme, inc. vwnaAAA  MOL Premium Software","006i0000001vwnaAAA",12,"","06/18/2015","Discover","","","Software","Acme, inc.","",12384,"","","","","12/14/2014 00:00","","","","","",-122.28429,"",47.555989
"Acme, inc. vxytAAA  MOL Standard Software","006i0000001vxytAAA",148,"","06/18/2015","Decision","","","Software","Acme, inc.","",100640,"","","","","06/20/2015 00:00","","","","","",-122.28429,"",47.555989
"Ligula Donec LLP vw3RAAQ  MOL Premium Software","006i0000001vw3RAAQ",5,"","07/14/2014","Closed Won","","","Software","Ligula Donec LLP","",5820,"","","","","07/16/2014 00:00","","","","","",-117.226825,"",33.230444
"Ligula Donec LLP vwCZAAY  MOL Mobile Software","006i0000001vwCZAAY",220,"","08/30/2014","Closed Won","","","Software","Ligula Donec LLP","",164340,"","","","","08/24/2014 00:00","","","","","",-117.226825,"",33.230444
"Ligula Donec LLP vxyyAAA  MOL Premium Software","006i0000001vxyyAAA",90,"","06/22/2015","Solution","","","Software","Ligula Donec LLP","",87480,"","","","","06/20/2015 00:00","","","","","",-117.226825,"",33.230444
"Tortor Nunc Foundation vxyzAAA  MOL Premium Software","006i0000001vxyzAAA",11,"","06/18/2015","Discover","","","Software","Tortor Nunc Foundation","",11880,"","","","","06/20/2015 00:00","","","","","",-122.525356,"",47.648325
"Nibh Lacinia Foundation vvvgAAA  MOL Standard Software","006i0000001vvvgAAA",206,"","06/20/2014","Closed Won","","","Software","Nibh Lacinia Foundation","",130192,"","","","","06/22/2014 00:00","","","","","",-119.790001,"",39.476249
"Nibh Lacinia Foundation vxzwAAA  MOL Standard Software","006i0000001vxzwAAA",7,"","06/28/2015","Decision","","","Software","Nibh Lacinia Foundation","",5488,"","","","","06/21/2015 00:00","","","","","",-119.790001,"",39.476249
"Mus Proin Corp. vy00AAA  MOL Premium Software","006i0000001vy00AAA",177,"","06/19/2015","Qualify","","","Software","Mus Proin Corp.","",210276,"","","","","06/21/2015 00:00","","","","","",-122.277079,"",47.550786
"Risus Donec Egestas PC vwgxAAA  MOL Standard Software","006i0000001vwgxAAA",3,"","02/21/2015","Closed Won","","","Software","Risus Donec Egestas PC","",2040,"","","","","11/24/2014 00:00","","","","","",-122.898562,"",47.043149
"Risus Donec Egestas PC vy12AAA  MOL Standard Software","006i0000001vy12AAA",3,"","06/29/2015","Discover","","","Software","Risus Donec Egestas PC","",2016,"","","","","06/26/2015 00:00","","","","","",-122.898562,"",47.043149
"Blandit At PC vtJ2AAI  MOL Mobile Software","006i0000001vtJ2AAI",10,"","07/29/2011","Closed Won","","","Software","Blandit At PC","",6570,"","","","","07/31/2011 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vtGgAAI  MOL Standard Software","006i0000001vtGgAAI",8,"","07/29/2011","Closed Won","","","Software","Blandit At PC","",5888,"","","","","06/27/2011 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vtQDAAY  MOL Standard Software","006i0000001vtQDAAY",84,"","12/01/2011","Closed Won","","","Software","Blandit At PC","",48384,"","","","","11/29/2011 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vtQaAAI  MOL Standard Software","006i0000001vtQaAAI",30,"","12/13/2011","Closed Won","","","Software","Blandit At PC","",21840,"","","","","12/06/2011 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vth9AAA  MOL Standard Software","006i0000001vth9AAA",1,"","06/15/2012","Closed Lost","","","Software","Blandit At PC","",680,"","","","","06/11/2012 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vtmIAAQ  MOL Premium Software","006i0000001vtmIAAQ",1,"","07/24/2012","Closed Won","","","Software","Blandit At PC","",1176,"","","","","07/17/2012 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vtv0AAA  MOL Standard Software","006i0000001vtv0AAA",15,"","10/10/2012","Closed Lost","","","Software","Blandit At PC","",10920,"","","","","10/02/2012 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vu1SAAQ  MOL Standard Maintenance","006i0000001vu1SAAQ",10,"","12/07/2012","Closed Won","","","Maintenance","Blandit At PC","",1008,"","","","","12/07/2012 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vu3xAAA  MOL Standard Software","006i0000001vu3xAAA",1,"","12/28/2012","Closed Lost","","","Software","Blandit At PC","",640,"","","","","12/26/2012 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vuOdAAI  MOL Standard Services","006i0000001vuOdAAI",42,"","05/10/2013","Closed Won","","","Services","Blandit At PC","",28812,"","","","","05/07/2013 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vucMAAQ  MOL Standard Maintenance","006i0000001vucMAAQ",6,"","07/23/2013","Closed Lost","","","Maintenance","Blandit At PC","",676.8,"","","","","07/19/2013 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vv2EAAQ  MOL Standard Services","006i0000001vv2EAAQ",42,"","11/26/2013","Closed Won","","","Services","Blandit At PC","",27636,"","","","","11/26/2013 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vvJYAAY  MOL Standard Maintenance","006i0000001vvJYAAY",45,"","02/01/2014","Closed Won","","","Maintenance","Blandit At PC","",3834,"","","","","02/01/2014 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vvuYAAQ  MOL Standard Software","006i0000001vvuYAAQ",450,"","06/24/2014","Closed Won","","","Software","Blandit At PC","",280800,"","","","","06/21/2014 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vw8nAAA  MOL Standard Software","006i0000001vw8nAAA",2,"","08/18/2014","Closed Lost","","","Software","Blandit At PC","",1472,"","","","","08/10/2014 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vwITAAY  MOL Standard Software","006i0000001vwITAAY",24,"","09/19/2014","Closed Won","","","Software","Blandit At PC","",17664,"","","","","09/13/2014 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vwc5AAA  MOL Premium Software","006i0000001vwc5AAA",13,"","11/16/2014","Closed Won","","","Software","Blandit At PC","",11076,"","","","","11/08/2014 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vwsbAAA  MOL Mobile Software","006i0000001vwsbAAA",1,"","12/27/2014","Closed Lost","","","Software","Blandit At PC","",702,"","","","","12/27/2014 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vx5gAAA  MOL Standard Maintenance","006i0000001vx5gAAA",3,"","02/05/2015","Closed Won","","","Maintenance","Blandit At PC","",302.4,"","","","","01/31/2015 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vxbuAAA  MOL Premium Software","006i0000001vxbuAAA",13,"","05/01/2015","Closed Won","","","Software","Blandit At PC","",11076,"","","","","04/24/2015 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vxm2AAA  MOL Standard Software","006i0000001vxm2AAA",8,"","05/21/2015","Closed Lost","","","Software","Blandit At PC","",4928,"","","","","05/18/2015 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vy71AAA  MOL Standard Services","006i0000001vy71AAA",157,"","06/01/2015","Decision","","","Services","Blandit At PC","",85722,"","","","","05/30/2015 00:00","","","","","",-70.789278,"",43.110758
"Blandit At PC vy1XAAQ  MOL Standard Software","006i0000001vy1XAAQ",9,"","06/29/2015","Commit","","","Software","Blandit At PC","",6192,"","","","","06/27/2015 00:00","","","","","",-70.789278,"",43.110758
"Orci Donec Nibh Incorporated vthPAAQ  MOL Standard Maintenance","006i0000001vthPAAQ",7,"","06/10/2012","Closed Won","","","Maintenance","Orci Donec Nibh Incorporated","",823.2,"","","","","06/12/2012 00:00","","","","","",-79.958034,"",39.63048
"Orci Donec Nibh Incorporated vuSzAAI  MOL Standard Software","006i0000001vuSzAAI",12,"","06/05/2013","Closed Won","","","Services","Orci Donec Nibh Incorporated","",8880,"","","","","06/04/2013 00:00","","","","","",-79.958034,"",39.63048
"Orci Donec Nibh Incorporated vvrQAAQ  MOL Standard Maintenance","006i0000001vvrQAAQ",143,"","06/18/2014","Closed Won","","","Maintenance","Orci Donec Nibh Incorporated","",12183.6,"","","","","06/11/2014 00:00","","","","","",-79.958034,"",39.63048
"Orci Donec Nibh Incorporated vy18AAA  MOL Standard Software","006i0000001vy18AAA",5,"","06/26/2015","Qualify","","","Software","Orci Donec Nibh Incorporated","",2840,"","","","","06/26/2015 00:00","","","","","",-79.958034,"",39.63048
"Orci Donec Nibh Incorporated vy17AAA  MOL Standard Services","006i0000001vy17AAA",7,"","06/27/2015","Solution","","","Services","Orci Donec Nibh Incorporated","",4312,"","","","","06/26/2015 00:00","","","","","",-79.958034,"",39.63048
"Morbi PC vtjAAAQ  MOL Mobile Services","006i0000001vtjAAAQ",8,"","06/23/2012","Closed Won","","","Services","Morbi PC","",3840,"","","","","06/25/2012 00:00","","","","","",-82.551084,"",35.591695
"Morbi PC vu5MAAQ  MOL Standard Software","006i0000001vu5MAAQ",1,"","01/02/2013","Closed Lost","","","Software","Morbi PC","",648,"","","","","12/29/2012 00:00","","","","","",-82.551084,"",35.591695
"Morbi PC vuKhAAI  MOL Standard Software","006i0000001vuKhAAI",95,"","04/11/2013","Closed Won","","","Software","Morbi PC","",72675,"","","","","04/03/2013 00:00","","","","","",-82.551084,"",35.591695
"Morbi PC vw19AAA  MOL Mobile Software","006i0000001vw19AAA",3,"","07/11/2014","Closed Lost","","","Software","Morbi PC","",2565,"","","","","07/05/2014 00:00","","","","","",-82.551084,"",35.591695
"Morbi PC vy19AAA  MOL Standard Software","006i0000001vy19AAA",41,"","06/26/2015","Commit","","","Software","Morbi PC","",25584,"","","","","06/26/2015 00:00","","","","","",-82.551084,"",35.591695
"Ante Ipsum Corp. vtjCAAQ  MOL Standard Maintenance","006i0000001vtjCAAQ",12,"","06/23/2012","Closed Won","","","Maintenance","Ante Ipsum Corp.","",1252.8,"","","","","06/25/2012 00:00","","","","","",-82.063568,"",35.91591
"Ante Ipsum Corp. vuXNAAY  MOL Standard Maintenance","006i0000001vuXNAAY",2,"","06/24/2013","Closed Lost","","","Maintenance","Ante Ipsum Corp.","",206.4,"","","","","06/23/2013 00:00","","","","","",-82.063568,"",35.91591
"Ante Ipsum Corp. vvrRAAQ  MOL Standard Services","006i0000001vvrRAAQ",2,"","06/16/2014","Closed Won","","","Services","Ante Ipsum Corp.","",1050,"","","","","06/11/2014 00:00","","","","","",-82.063568,"",35.91591
"Ante Ipsum Corp. vy1AAAQ  MOL Standard Maintenance","006i0000001vy1AAAQ",25,"","06/26/2015","Decision","","","Maintenance","Ante Ipsum Corp.","",2160,"","","","","06/26/2015 00:00","","","","","",-82.063568,"",35.91591
"Dis Parturient Montes PC vvx9AAA  MOL Standard Software","006i0000001vvx9AAA",3,"","06/26/2014","Closed Won","","","Software","Dis Parturient Montes PC","",1968,"","","","","06/28/2014 00:00","","","","","",-119.767395,"",39.165382
"Dis Parturient Montes PC vy1iAAA  MOL Standard Services","006i0000001vy1iAAA",47,"","06/29/2015","Discover","","","Services","Dis Parturient Montes PC","",24346,"","","","","06/27/2015 00:00","","","","","",-119.767395,"",39.165382
"Integer Vitae Nibh Industries vvxBAAQ  MOL Standard Software","006i0000001vvxBAAQ",5,"","06/26/2014","Closed Won","","","Software","Integer Vitae Nibh Industries","",3840,"","","","","06/28/2014 00:00","","","","","",-118.190719,"",33.770328
"Integer Vitae Nibh Industries vwQnAAI  MOL Standard Services","006i0000001vwQnAAI",57,"","10/06/2014","Closed Won","","","Services","Integer Vitae Nibh Industries","",30324,"","","","","09/28/2014 00:00","","","","","",-118.190719,"",33.770328
"Integer Vitae Nibh Industries vwvuAAA  MOL Premium Maintenance","006i0000001vwvuAAA",28,"","01/03/2015","Closed Lost","","","Maintenance","Integer Vitae Nibh Industries","",3948,"","","","","12/28/2014 00:00","","","","","",-118.190719,"",33.770328
